,upc,sku,
96,8.879E+11,272879941,1
97,8.28063E+11,282462040,1
98,8.879E+11,275620684,1
99,8.89895E+11,287770813,1
100,7.82335E+11,0,0
101,7.66653E+11,0,0
102,8.86228E+11,0,0
103,8.88794E+11,0,0
104,8.87759E+11,0,0
105,8.89296E+11,0,0
106,7.94193E+11,250173439,1
107,8.89349E+11,285570456,1
108,8.89349E+11,283433397,1
109,8.84116E+11,278005302,1
110,8.89349E+11,0,0
111,8.89349E+11,288190708,1
112,8.88794E+11,0,0
113,8.89296E+11,0,0
114,8.89349E+11,288190709,1
115,8.89895E+11,288293385,1
116,8.89349E+11,294763619,1
117,8.89801E+11,286066097,1
118,8.86228E+11,0,0
119,7.94279E+11,0,0
120,8.86228E+11,262949987,1
121,8.88863E+11,0,0
122,8.86228E+11,0,0
123,7.02706E+11,0,0
124,22265915486,278470021,1
125,8.879E+11,275311157,1
126,8.89661E+11,0,0
127,6.16043E+11,0,0
128,8.86228E+11,0,0
129,8.89955E+11,292343312,1
130,8.89349E+11,286994917,1
131,8.89234E+11,277653910,1
132,22265863312,270481138,1
133,8.89349E+11,294506728,1
134,8.879E+11,268363679,1
135,7.00444E+11,0,0
136,8.08113E+11,0,0
137,8.89894E+11,285905224,1
138,8.89899E+11,293655848,1
139,22265866290,270803110,1
140,8.87759E+11,292341967,1
141,22265930762,0,0
142,8.86228E+11,270969788,1
143,8.89349E+11,0,0
144,8.86228E+11,0,0
145,8.88794E+11,281408624,1
146,6.80474E+11,0,0
147,7.48006E+11,0,0
148,8.21271E+11,288891419,1
149,7.2642E+11,0,0
150,8.25633E+11,0,0
151,8.89349E+11,0,0
152,8.879E+11,276980493,1
153,8.87759E+11,0,0
154,12305144990,0,0
155,8.09395E+11,0,0
156,8.86228E+11,285915944,1
157,8.86228E+11,255112973,1
158,8.88793E+11,0,0
159,8.89349E+11,288190839,1
160,8.89661E+11,288361202,1
161,7.15408E+11,0,0
162,1.90152E+11,293391478,1
163,8.879E+11,276980490,1
164,8.88863E+11,292338681,1
165,8.89297E+11,0,0
