,upc
1326,888793207352
1327,886227996148
1328,750253254124
1329,884116148432
1330,884116172864
1331,888228556666
1332,889955087720
1333,788679076389
1334,889296234456
1335,889296815686
1336,814930022380
1337,884116167419
1338,889800626067
1339,884116135395
1340,884323175320
1341,884116164685
1342,889899486412
1343,888631850450
1344,22265846087
1345,884116205579
1346,888182377611
1347,884116167785
1348,889661015611
1349,889955954671
1350,886227895533
1351,634746193452
1352,887758944370
1353,761645305775
1354,889661015918
1355,889349183199
1356,761645299258
1357,887899443251
1358,884116147947
1359,888631518398
1360,22265805015
1361,22265930649
1362,886227782611
1363,884116154891
1364,889894365613
1365,888793016411
1366,884116169994
1367,886227808502
1368,882956133151
1369,889296134152
1370,758479006473
1371,715407509413
1372,888863632022
1373,715407515032
1374,884116166351
1375,753759120337
1376,12302563848
1377,786919872937
1378,641676238764
1379,889894177872
1380,641676241320
1381,786919874108
1382,804067296358
1383,889661020240
1384,888863037445
1385,884116203278
1386,889894928344
1387,884116169161
1388,884116165859
1389,884116212348
1390,888793831588
1391,889661074113
1392,12302566450
1393,884116116578
1394,786919873729
1395,888863233441
1396,889661064084
1397,887899808586
1398,886227507924
1399,887899443275
1400,887899420177
1401,886227778690
1402,887899833717
1403,888965500915
1404,888793253717
1405,887899559129
1406,63362651952
1407,889233644737
1408,889894325976
1409,889894325969
1410,889894325983
1411,884116204640
1412,741271364247
1413,96633379538
1414,641676237668
1415,889349183137
1416,641676234711
1417,888793350157
1418,22265885918
1419,888793093894
1420,888440575414
1421,616983304198
1422,889233065792
1423,887899327698
1424,888863475483
1425,889233133415
1426,889894515063
1427,884116168737
1428,889561593851
1429,190404298209
1430,887899852015
1431,725184032875
1432,887899645099
1433,886227884759
1434,889899721919
1435,889899721957
1436,889899721964
1437,641676237491
1438,787468117517
1439,22265805916
1440,887899815485
1441,888793999455
1442,889233993934
1443,887899788550
1444,889894897244
1445,889296331063
1446,884116206828
1447,22265925089
1448,884116183402
1449,888631850184
1450,887758414361
1451,884116167846
1452,889296350408
1453,22265558478
1454,400010590629
1455,886227643950
1456,888965588401
1457,889661127567
1458,889296869009
1459,884116164951
1460,887899626944
1461,884116168935
1462,889899415108
1463,889955190178
1464,889296430827
1465,889800658556
1466,12300269070
1467,889955714893
1468,889233828908
1469,22265683415
1470,888863332908
1471,888793311356
1472,884116205883
1473,889661015727
1474,888793746967
1475,889955182494
1476,22265556825
1477,190151753181
1478,889296340539
1479,889894356161
1480,888863066490
1481,888863332892
1482,17229140783
1483,190576237228
1484,22265556818
1485,400066500245
1486,884116167884
1487,884116167020
1488,884116164579
1489,884116167440
1490,22265689424
1491,616983299975
1492,889349166826
1493,788679076129
1494,884116167570
1495,887899473227
1496,889349248836
1497,634753044846
1498,715407518866
1499,888863214235
1500,888793197615
1501,888863404254
1502,886227843893
1503,729129074142
1504,22265691854
1505,889661014713
1506,888793452196
1507,889661015185
1508,726243485847
1509,887899930768
1510,888863632039
1511,887899851988
1512,889894510983
1513,786919873392
1514,887899819445
1515,888793403150
1516,887899443183
1517,888793929919
1518,888793319505
1519,634753045140
1520,888182992388
1521,889296307716
1522,889899268261
1523,884116212317
1524,22265805169
1525,888863543472
1526,889661015659
1527,889955087683
1528,889955388261
1529,889894508829
1530,887899121524
1531,889894514967
1532,889661026921
1533,888965838285
1534,888631120300
1535,884116205845
1536,634753045065
1537,888965842275
1538,888863423255
1539,889661056942
1540,634753044990
1541,889661015529
1542,888631736396
1543,889955583727
1544,884116172963
1545,884116153566
1546,888863517121
1547,889955182005
1548,889349136713
1549,886227947805
1550,889296379034
1551,886227962068
1552,887899677632
1553,889296306733
1554,889661015628
1555,742230397153
1556,884116212331
1557,889349135709
1558,22265861639
1559,889894491992
1560,888863367221
1561,889661135548
1562,889349317716
1563,889894492012
1564,845226020148
1565,889894628725
1566,888228291840
1567,889800480645
1568,190151354524
1569,889296328612
1570,884116105176
1571,884116169178
1572,889800978098
1573,190151832992
1574,887899325960
1575,888772072452
1576,889894222343
1577,889349293126
1578,889349294550
1579,889955605597
1580,889955958532
1581,884116168300
1582,889296134077
1583,889296134053
1584,889296134060
1585,889296134039
1586,889296727774
1587,884116216124
1588,889899634301
1589,888182899632
1590,887899558566
1591,884116146032
1592,888793999639
1593,22265810026
1594,884116144663
1595,889800855535
1596,190151354531
1597,889894464743
1598,841631102301
1599,884116167914
1600,884116149118
1601,889800998256
1602,889561818978
1603,889296070023
1604,889296736899
1605,22265800904
1606,886227868056
1607,888182268056
1608,889955447760
1609,889955447722
1610,884116232216
1611,190151947375
1612,888863509348
1613,888863509263
1614,889899674222
1615,889955715081
1616,888182623725
1617,812177024419
1618,812177024440
1619,888863478712
1620,888182948859
1621,884116205234
1622,22265807330
1623,888863002665
1624,889894492036
1625,889894498663
1626,22265747834
1627,190151833142
1628,884116168959
1629,884116164838
1630,700038672223
1631,887111350879
1632,889349134757
1633,786919874306
1634,812177024433
1635,812177024464
1636,400096370962
1637,889349194850
1638,889800329951
1639,884116164593
1640,886227970629
1641,22265509661
1642,889233170717
1643,889349171837
1644,889800615320
1645,889296328667
1646,190151847750
1647,887899891045
1648,888965839503
1649,889233128473
1650,886227776344
1651,22265587072
1652,641676240514
1653,888863158362
1654,888793197752
1655,807320198642
1656,889349310267
1657,736649737280
1658,889296961512
1659,889894835338
1660,887942598242
1661,190151385382
1662,888772469559
1663,887899660870
1664,884116168782
1665,766653301283
1666,715407514707
1667,889894330871
1668,889894509185
1669,888863578139
1670,889661012870
1671,884116166801
1672,889349356128
1673,787468122290
1674,766653301016
1675,886227779833
1676,889661050407
1677,888863695904
1678,889894142276
1679,884116203797
1680,889349224342
1681,884116167808
1682,884116169284
1683,884116166627
1684,888793773505
1685,889349169742
1686,889349166819
1687,889955950499
1688,888182648841
1689,884116189909
1690,888228916002
1691,888182747162
1692,886389110437
1693,887899981562
1694,889899306949
1695,715407508744
1696,725184079795
1697,888965101921
1698,888863394876
1699,887758643112
1700,888793889473
1701,884116211631
1702,884116164944
1703,889894143983
1704,888863386871
1705,888863008810
1706,884116188421
1707,889349355558
1708,887899981524
1709,888965814951
1710,889296428190
1711,884116147961
1712,22265946008
1713,888793101278
1714,888863598113
1715,889296196600
1716,889349004043
1717,889894017277
1718,888863034864
1719,887899670480
1720,888793058800
1721,884116166313
1722,888772512071
1723,888182325339
1724,889955668066
1725,886227879458
1726,886227962051
1727,888793936115
1728,888965732651
1729,889233301029
1730,190576057697
1731,884116147022
1732,887899021107
1733,889233535387
1734,889955322906
1735,884116168812
1736,888863379200
1737,814930028597
1738,884116205227
1739,886227316878
1740,888863578153
1741,889955436962
1742,887758485231
1743,888228313559
1744,889894276971
1745,888863517084
1746,886389109165
1747,22265836675
1748,887899646652
1749,889233535288
1750,889233055045
1751,884116168294
1752,884116166764
1753,888228897691
1754,888228897684
1755,884116164845
1756,715407518699
1757,888466574958
1758,889296138990
1759,889955572455
1760,22265889466
1761,886112644260
1762,889894296085
1763,888631760490
1764,887899322259
1765,884116183310
1766,889296313670
1767,884116154792
1768,888863534753
1769,888863282135
1770,888863519385
1771,889296662921
1772,889894315960
1773,22265807323
1774,741271363653
1775,889349186800
1776,700038656780
1777,889894142382
1778,623506041638
1779,887899127601
1780,761366221705
1781,889349148327
1782,889661015253
1783,889800467752
1784,889894514974
1785,889899602393
1786,758479006480
1787,889894274601
1788,889955823984
1789,700038687043
1790,887276028552
1791,888863034857
1792,22265891353
1793,887899705175
1794,887758944660
1795,889894143877
1796,888228883854
1797,887899789731
1798,889349149379
1799,766653301443
1800,889296828600
1801,786919874245
1802,884116197034
1803,889296919889
1804,889894508324
1805,889296193876
1806,886389110116
1807,814930020362
1808,190151714540
1809,888631850511
1810,889894218476
1811,888863370856
1812,888182785614
1813,887899613302
1814,887899529726
1815,888863368822
1816,889349184691
1817,888863577224
1818,886227929115
1819,889842013061
1820,884116121039
1821,887899657757
1822,886227503216
1823,884116164586
1824,634746193247
1825,884116154846
1826,889233733103
1827,888863509270
1828,769923006673
1829,884116212324
1830,884116166320
1831,889894094544
1832,698833015119
1833,812177024471
1834,884116205647
1835,884116205654
1836,888863367238
1837,889894897251
1838,888182165775
1839,889800842375
1840,889899008874
1841,889661030928
1842,889233038765
1843,889296132011
1844,889894218841
1845,889955145550
1846,889800615283
1847,22265805671
1848,884116144427
1849,22265945988
1850,701844121363
1851,888863212156
1852,889233003466
1853,884116204480
1854,190151384989
1855,888182246009
1856,889233121191
1857,889955715142
1858,190404430586
1859,889800668425
1860,889661015468
1861,889661071044
1862,887899755989
1863,888863585212
1864,888440115245
1865,886227873296
1866,715407508782
1867,888863534760
1868,887899819452
1869,700038687586
1870,190151024465
1871,884116168966
1872,888631798479
1873,887899626890
1874,22265816530
1875,888863258529
1876,886227834525
1877,801940110381
1878,884116220855
1879,886227996940
1880,884116164616
1881,884116173779
1882,889349122730
1883,889296743514
1884,889349248362
1885,884116175018
1886,889661015475
1887,886227354481
1888,888228697260
1889,889894510693
1890,889894510853
1891,889894385031
1892,884116165811
1893,884116167426
1894,889661135708
1895,889894536327
1896,889894315977
1897,889894628190
1898,190151087521
1899,885909630400
1900,887899854101
1901,888793712955
1902,887168704540
1903,889894613165
1904,884116150497
1905,889894597045
1906,889955434272
1907,886389110536
1908,889894869050
1909,22265930564
1910,22265992500
1911,889661065258
1912,887758598429
1913,888793966273
1914,634392678365
1915,889661107040
1916,889561370643
1917,884116167839
1918,889894520067
1919,888228810683
1920,889955182180
1921,700038686503
1922,889894515070
1923,888182737330
1924,889349273395
1925,887758633403
1926,884116168560
1927,641676240071
1928,49705773437
1929,884116204145
1930,887899671937
1931,889894146465
1932,888793367643
1933,889894107114
1934,886227986897
1935,884116220909
1936,884116165644
1937,804904110588
1938,888863509300
1939,717356402388
1940,715407511645
1941,766653300880
1942,885370757903
1943,889561583470
1944,886389110062
1945,887899851995
1946,886389110529
1947,884116203506
1948,884116168874
1949,888793856666
1950,888793856529
1951,888793856642
1952,888793856659
1953,889894492050
1954,22265805176
1955,884116167945
1956,22265805893
1957,887899730115
1958,889661015666
1959,22265868904
1960,742230365022
1961,886112290696
1962,888863211265
1963,889894471048
1964,889233813010
1965,889233119624
1966,889894803726
1967,889894628183
1968,889800658860
1969,741271360126
1970,889955893345
1971,841162123622
1972,886389110567
1973,889349174999
1974,888182065044
1975,889899602416
1976,886227651566
1977,886227720286
1978,884116168867
1979,888182786284
1980,741271364186
1981,889661139195
1982,855316004095
1983,889233129166
1984,888793149720
1985,886227674763
1986,888793929384
1987,889955735386
1988,889800464096
1989,889955020567
1990,888631850498
1991,884116164531
1992,889661140719
1993,884116169185
1994,725184079801
1995,888793547823
1996,888182718155
1997,889349164945
1998,715407513144
1999,888965633392
2000,889894492005
2001,889894956651
2002,889894928788
2003,889349196076
2004,884116205814
2005,889296631606
2006,889661133407
2007,889296069904
2008,884116166917
2009,884116167051
2010,884116167747
2011,889894960863
2012,33587072405
2013,889296042945
2014,889955583710
2015,888631850436
2016,889296141587
2017,889800888892
2018,889800611919
2019,889894973269
2020,889296218609
2021,884116204268
2022,22265691847
2023,888863001941
2024,886227976751
2025,884116173786
2026,887899543395
2027,888863065226
2028,824142128121
2029,889955950482
2030,884116164753
2031,886389110413
2032,741271360218
2033,190151763852
2034,887899945359
2035,786919873583
2036,888863534722
