,upc,sku
3380,889661133742,293793641
3381,889233133446,277229250
3382,811842025003,0
3383,190404122986,0
3384,755296150051,0
3385,889800479472,285662179
3386,16102349428,0
3387,884116212294,293655840
3388,889296235170,276905559
3389,884116164982,0
3390,888793822449,271279645
3391,888182266342,0
3392,887899990021,0
3393,889894777331,291752811
3394,885170204782,270277520
3395,888793229514,0
3396,884116166276,292341061
3397,889296180944,276905511
3398,889842068030,0
3399,889661133780,293353804
3400,884116147886,0
3401,885909851546,0
3402,884116183235,277141992
3403,811254027329,0
3404,889842015034,0
3405,22265927908,276797317
3406,884116169222,287762460
3407,811842031509,0
3408,700667784489,0
3409,190404027007,0
3410,611343099899,295836804
3411,190151210394,292032985
3412,886227763474,285959965
3413,889894869388,293075047
3414,886227678327,261249672
3415,814926020161,294339684
3416,888793817834,271279960
3417,885909630899,251954062
3418,885170225800,269974999
3419,889894907684,294144173
3420,888228536255,256166698
3421,888793557181,0
3422,884116229537,295486321
3423,889899390870,294541337
3424,813567022282,0
3425,889349393987,297313090
3426,889800522338,0
3427,889233113516,0
3428,884116165361,276661910
3429,889233098981,0
3430,886227991013,0
3431,889955090836,0
3432,887276088808,0
3433,811842033886,0
3434,844750021201,274807445
3435,844750021218,274807322
3436,888863333004,0
3437,884116165637,276768343
3438,824142128893,0
3439,885170228627,269587448
3440,886227777211,279426142
3441,793889065535,0
3442,889894869593,293074975
3443,190151850354,294609816
3444,811842031486,0
3445,886227850099,0
3446,889894316035,287699705
3447,889894149657,284720413
3448,889561312483,280430909
3449,889894907660,294038658
3450,727180703766,0
3451,889296257752,0
3452,811842025010,0
3453,888182289051,257571508
3454,888965665591,276883965
3455,889233302941,277570017
3456,889233304044,0
3457,884116228912,294976784
3458,889894967220,0
3459,889296180982,276905513
3460,889899048542,294144161
3461,611343097390,277570043
3462,889296723646,0
3463,887899990038,281422677
3464,888863657629,294976779
3465,889233108703,277229065
3466,889233543320,0
3467,889233098998,0
3468,889800473647,0
3469,888772782375,282264557
3470,888793817858,271280060
3471,889894323071,287009199
3472,885909937424,0
3473,824142113318,276946228
3474,811842025027,0
3475,884116105718,255423705
3476,813567022251,289466081
3477,886227948086,0
3478,814926020024,291518885
3479,889661082934,0
3480,889349232521,0
3481,889349156506,0
3482,822088070511,0
3483,96633380732,282216666
3484,889894339010,0
3485,888965588241,276120565
